[u'Schoolboy Q'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,68,4UtLXegebv7qNBF26nivhZ,Man Of The Year
"[u'Tyler, The Creator']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,59,4OKXvqtfwlvY2fYJ2lzHPH,Yonkers
[u'The Beach Boys'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,70,2oF7FZHIJbzjeEXZ3D0Ku4,Good Vibrations - 2001 - Remaster
[u'Canned Heat'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,64,57460SJgSpCXaRJ9YIYHxy,Going Up The Country
[u'Elton John'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,58,7LDe75cRmbXNcMTGXR5sze,Rocket Man (I Think It's Going To Be A Long Long Time)
[u'Atmosphere'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,31,24ljqI2MkpHmLLeV3etf62,Puppets
[u'Fugees'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,67,2HAVFycrhtbmLxyyxpm6JI,Killing Me Softly with His Song
[u'2Pac'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,29,7B8HoRvv774rSTrSzvM9Th,Hit 'Em Up (Featuring Tha Outlawz)
[u'The Notorious B.I.G.'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,67,0Bd3oaSitY4a57zlwV9sG6,Notorious Thugs
[u'Danny Brown'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,62,29Zj1r8cek15xe08vNUOLy,Dip
"[u'Twista', u'Jamie Foxx', u'Kanye West']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,56,1boHm9rjmvzxpJASd9dnGK,Slow Jamz (feat. Kanye West & Jamie Foxx)
[u'Wu-Tang Clan'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,57,1v5cgIyffYtfEx0swttdoE,Bring Da Ruckus
[u'Lupe Fiasco'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,55,0jYhHo2DhmdkLfonFbPixV,Dots & Lines
[u'The Notorious B.I.G.'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,47,135mXfeiu9oHIFS2B96t3U,Big Booty Hoes (feat. Too $hort)
[u'Flobots'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,58,4IdIs1ugvlGHzQ8JCq1UBl,Handlebars
[u'Koan Sound'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,21,1viXeO54UVaNTUFDhUlr9q,Funkblaster
"[u""Cam'Ron"", u'Kanye West', u'Syleena Johnson']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,33,6JRacFhZHblxWU3Xwh5Trv,Down And Out
[u'Kanye West'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,43,3DTy1olOsyxfLmgcym1PRC,Last Call
[u'Kid Cudi'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,49,4zBZY6XdC6ZpVNUyvP5Go7,Man On The Moon
[u'Rae Sremmurd'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,58,7qja7mRRONF1kAgdRU54ty,Lit Like Bic - Intro
[u'The Cranberries'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,66,1aLNpg2kKvUncflV8xE5AA,Linger
"[u'Big Sean', u'Drake']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,71,4E92bmgFiHxvy2SNjXjC3b,Blessings
[u'2Pac'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,56,4NrG279pDVphLmS1e2JVWp,Heartz Of Men
"[u""Manfred Mann's Earth Band""]",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,60,39OPZvxdhToddt29z55Ukv,Blinded By The Light
[u'Rihanna'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,68,2RWs4c3ZJ74WwXlVC3QCQN,What Now
[u'Sublime'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,38,3w5zBh58ffVKGMHwbFOkz0,Doin' Time
[u'Kendrick Lamar'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,61,0bcCgRudYZ4kiOHZNZfqxU,Keisha's Song (Her Pain)
[u'Mick Jenkins'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,56,3jihIG6ry4oRPhKwn9PLja,The Waters
[u'Empire of the Sun'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,72,6A6qBFJHid4WutQu6HHEZt,Walking On A Dream
"[u'Kid Cudi', u'King Chip']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,63,20bJBbPapGQ4bqs0YcA9xY,Just What I Am
"[u'Joey Bada$$', u'Kiesza']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,63,2qMjIHWyYgnEtcmoZc3R0u,Teach Me - Bonus
[u'J. Cole'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,79,7lL3MvFWFFSD25pBz72Agj,A Tale of 2 Citiez
[u'Sublime'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,44,2rNdokgvZAx0Gf56tbq7bW,Garden Grove
[u'Freddie Gibbs'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,34,4nuRjG4RXW6lsKANhBcYxk,Boxframe Cadillac
[u'Kendrick Lamar'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,79,1vffte5WTHIik37ePfJdo4,King Kunta
[u'Joey Bada$$'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,67,2w9Qq5cflc8Z6BraiDCyes,Christ Conscious
[u'MGK'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,62,7EW9uZzfHF0akNCtYjkMJ2,Till I Die
"[u'The Game', u'2 Chainz', u'Rick Ross']",transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,64,4l59QWcA9F9qqvNc5pwDtL,Ali Bomaye
[u'Gang Starr'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,49,18RzOVoUefUG47NviEiX8A,Skills
[u'Galantis'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,88,46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I)
[u'50 Cent'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,43,2Hzhjqvm3BL0YXiElNelvF,I'm Supposed To Die Tonight
[u'N.W.A.'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,82,4LujRMTMwAfFKjm45tixHY,Straight Outta Compton
[u'The Weeknd'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,93,6RsWqX8zABZLhZydXxEFOm,Can't Feel My Face
[u'Massive Attack'],transgender,2tffaH02BazretExB0ZZI1,Transgender,1255383095,71,67Hna13dNDkZvBpTXRIaOJ,Teardrop
[u'RuPaul'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,62,5PHPENfE3RVmHGAA2A7Hfx,Sissy That Walk
"[u'Miranda Lambert', u'Carrie Underwood']",transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,71,6s9m5J92By7jii22Q2XtY2,Somethin' Bad - (Duet with Carrie Underwood)
[u'Katy Perry'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,67,005lwxGU1tms6HGELIcUv9,I Kissed a Girl
[u'Ellie Goulding'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,85,1ip2IGDWMrUmlaepEbWlL8,"Love Me Like You Do - From ""Fifty Shades Of Grey"""
[u'RuPaul'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,52,7tvMOBSGPAl4Gyiq6fdiRd,Supermodel (You Better Work)
[u'Lady Gaga'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,69,3OT3Kg4jyVkdZm4Ncz6JgX,Poker Face
[u'Sofia Karlberg'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,78,7jOvEsDIjHRH0LwCkwZSHS,Crazy in Love
[u'Sofia Karlberg'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,53,0V87MwU9mDogfpFtNA7IdA,Good For You
[u'No Doubt'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,62,6mfkHv00I6jhHIn7EWHJ2N,Just A Girl
[u'Madonna'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,67,27QvYgBk0CHOVHthWnkuWt,Vogue
[u'George Michael'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,70,0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered
"[u'George Michael', u'Elton John']",transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,62,0q90594hk25yo0xZmBTqCd,Don't Let the Sun Go Down on Me
[u'Shinedown'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,70,0CwYG1UnRmOx8Q1EzElCIL,Second Chance
"[u'Britney Spears', u'Iggy Azalea']",transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,78,6QicTxeiSaRkPnkGDUvYOs,Pretty Girls
[u'Kid Rock'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,49,1SByxvzTeuhTtPLWuuO5G8,So Hott
[u'Katy Perry'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,78,6tS3XVuOyu10897O3ae7bi,California Gurls - feat. Snoop Dogg
[u'Nico & Vinz'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,82,2wqaekenSQZm7hxQOYt8oE,Am I Wrong
[u'Britney Spears'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,69,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again
[u'Avril Lavigne'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,70,1rdreHH1v6kyrx2mFQvLR4,Here's to Never Growing Up
[u'Cyndi Lauper'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,5,5IDAmmAGNL8bChecxPZDx7,Girls Just Want to Have Fun
[u'Lindsay Lohan'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,45,1TPPeucJZ8re5ggPLuIv3C,Rumors - Main
[u'Brick & Lace'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,43,2fVLnFFsze094KERN0CAcv,Love Is Wicked
"[u'Akon', u'Eminem']",transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,51,6ePS2Z8EBk1niYM0ZcKiiq,Smack That
[u'Aerosmith'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,65,74uGhWp4BYpjFj1V2DzgoO,Pink
[u'Everclear'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,60,4N2utzbudidhsWZLpdHb2U,Father Of Mine
[u'Brick & Lace'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,28,48K7tnLFEi7CsZrZrVlSDQ,Get That Clear (Hold Up)
[u'Sean Paul'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,75,0k2GOhqsrxDTAbFFSdNJjT,Temperature
[u'Collective Soul'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,52,51HuI43LXE4oNUSKMPZFWf,The World I Know (45 version)
[u'Nickelback'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,71,4QJLKU75Rg4558f4LbDBRi,If Today Was Your Last Day
[u'Collective Soul'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,59,4wx38D1Y9vv9WG3T0J6lTA,December (45 Version)
[u'Collective Soul'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,59,1HZ3cUZUw5htSFmah1V8Ko,Shine
[u'Diana Ross'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,55,3615sTQ5vxerUDBLSKRfds,I'm Coming Out
[u'Candlebox'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,64,1t1NX1DJQDcmZA0lvCnFjC,Far Behind
[u'3 Doors Down'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,61,0uybt73QFXaLCoxuVf6fhm,It's Not My Time
[u'Sara Evans'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,62,5FIp4LrsffxiHLhmmpCbCx,A Little Bit Stronger
[u'Superchick'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,45,2I7tgHmV8iaMXLwma9Nl7U,Beauty From Pain
[u'Three Days Grace'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,54,4qjzpr23GpeeGMb2Bwj4sb,Now or Never
[u'Christina Aguilera'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,73,3TCauNPqFiniaYHBvEVoHG,Beautiful
[u'Linkin Park'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,46,737yse38y2hsWQeNRrLaMY,Not Alone
[u'Kiesza'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,70,0c6xIDDpzE81m2q797ordA,Hideaway
[u'Trisha Yearwood'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,25,3a1zG1WBUNifXQjBKzsgSm,Real Live Woman
[u'Billy Boyd'],transgender,7Ga6nwsGd8N7AAvy2D70tR,Transgender,1236106956,55,38I1wMOr8wsW1y7twIyQlb,The Last Goodbye
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,48,32NyqsVZCk19j39RqGACJI,Transgender Dysphoria Blues
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,26,6nsfKNxjdnRCz145cpC2DX,True Trans Soul Rebel
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,31,0Xm76Jalba5fd36359VIdi,Unconditional Love - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,40,3xfwMTl546UhefwU82FQB9,Drinking with the Jocks
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,41,6NwD4gnhisDotvU7uWaeam,Osama Bin Laden as the Crucified Christ
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,39,3Rc7B0yKwCmqZu0JG0e2Cb,FUCKMYLIFE666 - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,41,1ASuphBqmAKGHlUk8X26VM,Dead Friend
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,41,2IqKjajY7Xc4bQpG9KTlNp,Two Coffins
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,40,2DyfzJGbeKDlRzKway2gOm,Paralytic States
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,32,2AHo81meAUanZXstuvyVzX,Black Me Out - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,56,3c3XnCPwxGhQEHFxxjQcWe,Thrash Unreal
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,51,3gQCJCVl7XyruO5vBEBWGj,Pints of Guinness Make You Strong
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,46,2orAN5KHgeQ33bSdVKRwQE,Borne On The FM Waves Of The Heart
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,40,7DXYaECb9HRCGpyFtCzlrd,New Wave
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,31,462Q1K3mbY9Adc3RtAwrUc,Because Of The Shame - (Acoustic Version)
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,28,7sCFo1r4pt3HhtdhLGroBa,One By One - (Acoustic Version)
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,26,5LqfbStOjPPeLK5qV6wusJ,Bitter Divisions - (Goldentone Studio Version)
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,31,7nC1yGxjWGImX0YBc6fUOv,Random Hearts - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,26,4oIj4JQWqwl6Zw3wWezrf4,Conceptual Paths - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,24,23RfK2mrKZiwYlrxqLw3Za,Cowards Sing At Night - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,24,3eqBKAUt1shG9OJJIgWsvc,Amputations - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,30,0v1Wqgwloy4M3xli4R877M,Anna Is A Stool Pigeon - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,32,0KPxYUcQgkFi9A5q5FlYM9,Harsh Realms - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,25,41KmJVZoxzEMkhZ2qmKZWs,100 Years Of War - EP Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,26,7lNkgyM4vkqV82uN2MF73C,Random Hearts - Acoustic Version
[u'Tom Gabel'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,27,6O3ryjrplP9Axo8790OsNk,"I Can't See You, But I Know You're There - Non-Album Track"
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,24,4RthpRrhAycj8yRahGYggT,500 Years
[u'Joan Jett & The Blackhearts'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,17,55LlZD7cXP2MXUcoEglNcl,Soulmates to Strangers
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,38,00xxpGL0qufM9KMGXoKZta,Bamboo Bones
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,15,35ew18Ki6Ted2Pfpc0U0FR,Here Comes A Regular
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,29,0qyQHqCgrsJDStMCCtv8nR,Pretty Girls (The Mover)
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,57,52olXkCzKWjG0Lrmse0VT4,I Was a Teenage Anarchist
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,37,6vdz3s06pqkgcxoonOk9dq,Pints of Guinness Make You Strong - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,36,0CHcJsbXCHyj6aZ6Uru1Vw,Cliché Guevara - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,36,49WK95J0cOGIodKXspgn0g,True Trans Soul Rebel - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,36,62kEGdTj6277AEOEWGcc8B,I Was a Teenage Anarchist - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,35,1TGkADnbteIz2NyyhOx7ZW,New Wave - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,35,02EW9ybZQ1jaBXxB0Rtw3J,Walking Is Still Honest - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,34,0V7G7OGtek3UkRa9RyeYrd,Turn Those Clapping Hands Into Angry Balled Fists - Live
[u'Against Me!'],transgender,23zUN53gQT0inNri0vgEBD,Against Me! - Transgender Dysphoria Blues,128418514,34,2idunVx1C9ndoOkdiaGQ8i,Transgender Dysphoria Blues - Live
