"artists","keyword","playlist_id","playlist_name","playlist_owner","popularity","track_id","track_name"
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,46,1V0Wlr2K6MWw4TUxaCILvi,Los Días Raros
"[u'Vetusta Morla', u'Orquesta Sinf\xf3nica De La Regi\xf3n De Murcia']",lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,45,06NWSnw3Q1DYNshwS8FFvl,Los Días Raros
[u'Love of Lesbian'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,2,2c6k2ThWQNAeS7oqtQrevG,Universos Infinitos
[u'Supersubmarina'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,44,5HBab5WIBKbth2WWWZzw2z,Elastica Galactica
[u'Supersubmarina'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,46,19UQhdFfzHLGoeqV7au9Xq,Hermetica
[u'Love of Lesbian'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,50,5uqQQhIvR1S7XiPbc3iWF5,1999
[u'Love of Lesbian'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,55,29tVNOmg85qDLh2wVnJxpv,Alli donde soliamos gritar
[u'Pereza'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,51,2wEwMWX4i7kPM94CP4QjZZ,Amelie
[u'Loquillo'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,0,,Rock And Roll Star
[u'Loquillo'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,46,7oxqqDgv9Zz18XuldtZ4Kv,Cadillac Solitario
